hosp_rate,death_rate,illness_rate,icu_rate,virus,med_visit_rate,population,age
0.04404145077720207,,0.002736941621366107,0.009499136442141624,covid,,423100.0,0
0.020877507747512642,,0.006095639197018098,0.004893165878323275,covid,,1005801.0,6
0.030955373978629793,0.00023570081709616594,0.017380214030071266,0.004242614707730987,covid,,732327.0,20
0.05301810865191147,0.0013078470824949698,0.013379060827617396,0.010462776659959759,covid,,742952.0,30
0.07794382891007472,0.0027054882762174697,0.011696170792422352,0.023447565060551404,covid,,663636.0,40
0.13447574789427824,0.011617775196049956,0.008863739633118926,0.045164101074644206,covid,,776873.0,50
0.2271393643031785,0.04743276283618582,0.0065528174711892324,0.08679706601466992,covid,,624159.0,60
0.34124087591240876,0.13777372262773724,0.006629506748970945,0.11177007299270073,covid,,330643.0,70
0.33130193905817173,0.29750692520775623,0.010229526778124115,0.09085872576177285,covid,,176450.0,80
0.20873269435569755,0.4387646432374867,0.021999906283679302,0.03514376996805112,covid,,42682.0,90
0.16981132075471697,0.5849056603773585,0.0398796087283672,,covid,,1329.0,100
0.001279,1.3000000000000001e-05,0.183395,,flu,0.122875,,0
0.00039200000000000004,4e-06,0.14300100000000002,,flu,0.07436100000000001,,5
0.000484,1.8e-05,0.086215,,flu,0.0319,,18
0.0015509999999999999,9e-05,0.146271,,flu,0.06289600000000001,,50
0.0053289999999999995,0.000487,0.058614,,flu,0.032824,,65
0.04404145077720207,,0.002736941621366107,0.009499136442141624,covid,,423100.0,5
0.020877507747512642,,0.006095639197018098,0.004893165878323275,covid,,1005801.0,19
0.030955373978629793,0.00023570081709616594,0.017380214030071266,0.004242614707730987,covid,,732327.0,29
0.05301810865191147,0.0013078470824949698,0.013379060827617396,0.010462776659959759,covid,,742952.0,39
0.07794382891007472,0.0027054882762174697,0.011696170792422352,0.023447565060551404,covid,,663636.0,49
0.13447574789427824,0.011617775196049956,0.008863739633118926,0.045164101074644206,covid,,776873.0,59
0.2271393643031785,0.04743276283618582,0.0065528174711892324,0.08679706601466992,covid,,624159.0,69
0.34124087591240876,0.13777372262773724,0.006629506748970945,0.11177007299270073,covid,,330643.0,79
0.33130193905817173,0.29750692520775623,0.010229526778124115,0.09085872576177285,covid,,176450.0,89
0.20873269435569755,0.4387646432374867,0.021999906283679302,0.03514376996805112,covid,,42682.0,99
0.16981132075471697,0.5849056603773585,0.0398796087283672,,covid,,1329.0,109
0.001279,1.3000000000000001e-05,0.183395,,flu,0.122875,,4
0.00039200000000000004,4e-06,0.14300100000000002,,flu,0.07436100000000001,,17
0.000484,1.8e-05,0.086215,,flu,0.0319,,49
0.0015509999999999999,9e-05,0.146271,,flu,0.06289600000000001,,64
0.0053289999999999995,0.000487,0.058614,,flu,0.032824,,110
